"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-09",,,,,"0.00","0.0","1.0","38","27","31",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-10",,,,,"0.00","0.0","1.0","42","29","30",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-11",,,,,"0.00","0.0","0.0","53","30","37",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-12",,,,,"0.42","0.0","0.0","47","33","33",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-13",,,,,"0.48","0.0","0.0","34","25","28",,,,,,"    1",
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-14",,,,,"0.31","0.0","0.0","34","16","19",,,,,,"    1",
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-15",,,,,"0.00","0.0","0.0","28","16","19",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-16",,,,,"0.00","0.0","0.0","35","13","15",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-17",,,,,"0.00","0.0","0.0","22","13","21",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-18",,,,,"0.06","0.0","0.0","44","21","31",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-19",,,,,"0.00","0.0","0.0","32","29","30",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-20",,,,,"0.42","0.0","0.0","46","30","37",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-21",,,,,"0.39","0.2","0.0","53","25","25",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-22",,,,,"0.00","0.0","0.0","26","8","12",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-23",,,,,"0.00","0.0","0.0","32","11","32",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-24",,,,,"0.24","0.4","0.0","50","10","12",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-25",,,,,"0.00","0.0","0.0","14","2","5",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-26",,,,,"0.00","0.0","0.0","21","5","15",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-27",,,,,"0.92","5.4","5.0","35","15","34",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-28",,,,,"0.05","0.0","5.0","35","16","17",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-29",,,,,"0.00","0.0","5.0","25","6","9",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-30",,,,,"0.00","0.0","5.0","27","8","26",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-01-31",,,,,"0.01","0.2","5.0","33","18","19",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-02-01",,,,,"0.00","0.0","5.0","32","10","15",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-02-02",,,,,"0.00","0.0","5.0","35","14","26",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-02-03",,,,,"0.63","0.0","3.0","36","26","30",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-02-04",,,,,"0.00","0.0","3.0","30","5","8",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-02-05",,,,,"0.00","0.0","3.0","29","8","30",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-02-06",,,,,"0.00","0.0","3.0","39","25","30",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-02-07",,,,,"0.00","0.0","3.0","51","27","30",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-02-08",,,,,"0.00","0.0","3.0","39","-3","-1",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1963-02-09",,,,,"0.00","0.0","3.0","15","-2","15",,,,,,,
